,Date,AAL,AAPL,AMD,AMZN,GE,KO,MARA,MELI,RCL,TSLA,^GSPC
58,2016-07-18,34.625667572021484,23.354522705078125,5.510000228881836,736.0700073242188,29.031177520751953,39.00938415527344,49.599998474121094,148.1949920654297,64.98983764648438,45.25,2166.889892578125
59,2016-07-19,34.606449127197266,23.363882064819336,5.409999847412109,739.9500122070312,29.048824310302734,39.00938415527344,49.119998931884766,148.11529541015625,64.12989044189453,45.051998138427734,2163.780029296875
60,2016-07-20,34.51995086669922,23.38494300842285,5.409999847412109,745.719970703125,28.916501998901367,38.90679931640625,48.15999984741211,151.75045776367188,65.79491424560547,45.672000885009766,2173.02001953125
61,2016-07-21,33.59737014770508,23.260948181152344,5.21999979019165,744.4299926757812,28.74889373779297,38.855506896972656,48.63999938964844,152.78623962402344,66.19743347167969,44.099998474121094,2165.169921875
62,2016-07-22,34.942806243896484,23.080814361572266,5.840000152587891,744.8599853515625,28.28136444091797,39.18036651611328,49.279998779296875,153.6128692626953,66.7646255493164,44.45399856567383,2175.030029296875
63,2016-07-25,34.40463638305664,22.772001266479492,6.699999809265137,739.6099853515625,27.910865783691406,38.95809555053711,49.279998779296875,150.923828125,66.81951904296875,46.00199890136719,2168.47998046875
64,2016-07-26,35.12540817260742,22.61526107788086,6.980000019073486,735.5900268554688,27.760900497436523,38.36821746826172,48.0,150.79437255859375,66.81951904296875,45.902000427246094,2169.179931640625
65,2016-07-27,34.78904342651367,24.084423065185547,6.849999904632568,736.6699829101562,27.593292236328125,37.10294723510742,49.279998779296875,150.78440856933594,67.0207748413086,45.698001861572266,2166.580078125
66,2016-07-28,34.923580169677734,24.409603118896484,6.820000171661377,752.6099853515625,27.566829681396484,37.31667709350586,49.119998931884766,151.3720245361328,67.00248718261719,46.12200164794922,2170.06005859375
67,2016-07-29,34.1163330078125,24.379188537597656,6.860000133514404,758.8099975585938,27.469791412353516,37.2995719909668,47.36000061035156,152.4575653076172,66.2706298828125,46.95800018310547,2173.60009765625
68,2016-08-01,34.21242904663086,24.809646606445312,6.639999866485596,767.739990234375,27.478614807128906,37.14569091796875,47.36000061035156,152.32809448242188,65.74000549316406,46.00199890136719,2170.840087890625
69,2016-08-02,32.20389938354492,24.442359924316406,6.260000228881836,760.5800170898438,27.39040184020996,37.214080810546875,47.20000076293945,150.88401794433594,61.614105224609375,45.439998626708984,2157.030029296875
70,2016-08-03,32.2713623046875,24.748821258544922,6.300000190734863,754.6400146484375,27.460973739624023,37.30811309814453,46.400001525878906,150.66488647460938,62.91318130493164,45.15800094604492,2163.7900390625
